name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
PRIMAL3,OSQP_high,optimal,0.021737025,100,-0.13575583701275254,-0.13575584,745,856,23036,0,0.014590529,0.007146496,0.0,0
CVXQP1_L,OSQP_high,optimal,461.166458618,44100,108704799.86329557,108704800.0,10000,15000,94966,0,4.039978219,457.126480399,0.0,1
QPCBOEI1,OSQP_high,optimal,1.1676375129999998,28000,11503913.80852184,11503914.0,384,735,4253,0,0.00245985,1.165177663,0.0,1
QBORE3D,OSQP_high,time_limit,1000.0000538429999,75793764,3103.702966570363,3100.2008,315,548,1872,0,0.001090098,999.998963745,0.0,6568
QCAPRI,OSQP_high,optimal,69.52870573199999,3363375,66793211.34202839,66793293.0,353,624,3852,0,0.001702207,69.527003525,0.0,24
CONT-300,OSQP_high,time_limit,1000.038945306,21465,0.6458078759220836,0.19151232,90597,180895,562496,0,4.400706458,995.638238848,0.0,11
QSC205,OSQP_high,optimal,0.002778135,300,-0.00581395246136253,-0.0058139518,203,408,785,0,0.000434377,0.002343758,0.0,1
CONT-050,OSQP_high,optimal,1.250226136,3550,-4.563850900480513,-4.5638509,2597,4998,17199,0,0.013592462,1.236633674,0.0,12
S268,OSQP_high,optimal,0.000175123,250,1.951775630004704e-09,5.7310705e-07,5,10,55,0,3.9281e-05,0.000135842,0.0,3
HS52,OSQP_high,optimal,6.9941e-05,50,5.326647564548825,5.3266476,5,8,21,0,3.5311e-05,3.463e-05,0.0,0
